[8.358335661357845E-4, 0.0011148564262994554, 9.055964163891255E-4, 9.590380102158738E-4, 0.0010422340455716519, 9.06522810990043E-4, 0.0010286095756744872, 0.0013549546561366132, 0.0010232431938630947, 0.0010113409349259126]
[1.9299618321998082E-4, 2.0677082237263464E-4, 2.1045492006541118E-4, 2.039005204827705E-4, 1.9821536090242718E-4, 2.4346949535997495E-4, 2.002562368240371E-4, 2.0745518685399435E-4, 2.03694760465032E-4, 2.187220924978143E-4]
[0.01445515327095734, 0.018219445370111602, 0.011853690991555981, 0.016658644603083323, 0.01173430519968328, 0.013449396229060431, 0.012701152453405636, 0.01213178041307686, 0.011455854831363762, 0.0189782297628817]
[3.105113476643918E-4, 4.2666046931373987E-4, 4.273590162303141E-4, 3.8158507750474816E-4, 4.211964222244712E-4, 3.9563684211126824E-4, 3.0456530683554305E-4, 3.496235010544831E-4, 4.768120256067193E-4, 4.0746908923298833E-4]
[0.0015619247987038076, 0.0020112319590266394, 0.001551420551025767, 0.0018622103149217814, 0.0016369114072859769, 0.0015229639174835325, 0.002618963973624045, 0.0025284463132803597, 0.0016285917859573276, 0.0018043159605513422], 
[5.317298019958513E-4, 7.606642512682145E-4, 7.111973980927967E-4, 6.342811668108931E-4, 7.278090316316195E-4, 6.245719378783352E-4, 5.749514165386763E-4, 6.553662018785657E-4, 6.221446892270294E-4, 8.120726936027476E-4]
[4.934565550130721E-4, 4.0102096826851575E-4, 3.934071502904797E-4, 3.6665125897024326E-4, 4.037137516387323E-4, 4.302151892485886E-4, 4.2275210491740715E-4, 3.8529040894355425E-4, 3.688611740198483E-4, 4.6110035456304796E-4]
[0.011626812887778793, 0.012408539328080273, 0.00930082003071827, 0.012091113521701093, 0.010373461322390736, 0.011509980756346468, 0.009445606205294041, 0.009123340779206249, 0.008969512043617503, 0.012671545027442239]
[7.935506253049673E-4, 8.057373931828906E-4, 9.369212648987226E-4, 8.888162910376356E-4, 8.514455840551504E-4, 9.024516834007051E-4, 8.127827890942979E-4, 8.637286318470902E-4, 0.0010573610512044714, 8.669776116956039E-4]
[0.001228332525201067, 0.0013283444248998245, 0.0012285700417519322, 0.0012373172154294572, 0.0011991222093505254, 0.0012164414474740255, 0.0021631085866431936, 0.001494274768640418, 0.001253518396060199, 0.0012492229599463272]
